generation,genome_hash,fidelity,family,horizon,n_features,score,sharpe_prevault,n_days,data_hash,panel_hash,config_hash,platform,parent_hash,birth_gen
1,35d85a0408d2,F2,seasonal_rule,21,0,0.7829413912055273,0.7829413912055273,5285,c8b7f490b91efedc,dc1e8bed731b9232,6c8ac09323e93676,x86_64darwin,b5efe2549ec6,1
2,9353d613c7d3,F0,seasonal_rule,63,0,0.7353360523628293,0.7353360523628293,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,35d85a0408d2,F0,seasonal_rule,21,0,0.5610398450641833,0.5610398450641833,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b5efe2549ec6,1
2,b5efe2549ec6,F0,seasonal_rule,63,0,0.5610398450641833,0.5610398450641833,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,0
2,b2bb6b83157d,F0,seasonal_rule,63,0,0.3846786290635671,0.3846786290635671,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
2,4e873b911375,F0,seasonal_rule,21,0,0.7353360523628293,0.7353360523628293,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,94e0bc9e9cfd,F0,seasonal_rule,63,0,0.3631315644940241,0.3631315644940241,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,2caf8739fbee,F0,seasonal_rule,63,0,0.7718862245446427,0.7718862245446427,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,9353d613c7d3,2
2,d9640520052f,F0,seasonal_rule,63,0,0.6407286946179744,0.6407286946179744,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,b454e881a1fc,2
2,2acc5486e987,F0,seasonal_rule,21,0,0.7478687403468741,0.7478687403468741,3772,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,35d85a0408d2,2
2,06c8b07af76d,F0,ridge,63,13,-0.5109512145472441,-0.38095121454724407,3187,0787df358a6d84dc,12cefe17953efabb,1434ad9ce10cb1f6,x86_64linux,,2
